# File written from OrientationAnalysis Version 6.5.163.1998a502a
# DateTime: ?? 9? 6 11:14:22 2022
# X_STEP: 0.504000
# Y_STEP: 0.503000
# Z_STEP: 0.000000
#
# X_MIN: 0.000000
# Y_MIN: 0.000000
# Z_MIN: 0.000000
#
# X_MAX: 99.792000
# Y_MAX: 100.600006
# Z_MAX: 0.000000
#
# X_DIM: 198
# Y_DIM: 200
# Z_DIM: 0
#
# Phase_1: 
# Symmetry_1: 62
# Features_1: 62
#
# Num_Features: 62 
#
# phi1 PHI phi2 x y z FeatureId PhaseId Symmetry Rho
1.81446 1.79573 3.65903 62.243999 0.2515 0 8 1 62 1.560580e+14
1.81659 1.79572 3.66433 62.748001 0.2515 0 8 1 62 1.013287e+14
1.81711 1.79528 3.66587 63.251999 0.2515 0 8 1 62 1.121098e+14
1.81742 1.79491 3.66653 63.756001 0.2515 0 8 1 62 1.093830e+14
1.81737 1.79479 3.66596 64.260002 0.2515 0 8 1 62 9.416629e+13
1.81774 1.79536 3.66368 64.764 0.2515 0 8 1 62 9.146572e+13
1.8179 1.79677 3.66107 65.267998 0.2515 0 8 1 62 8.403037e+13
1.81758 1.79875 3.65912 65.772003 0.2515 0 8 1 62 9.266469e+13
1.81707 1.80063 3.65681 66.276001 0.2515 0 8 1 62 9.160968e+13
1.81646 1.80182 3.65458 66.779999 0.2515 0 8 1 62 9.886818e+13
1.81588 1.80185 3.65276 67.283997 0.2515 0 8 1 62 9.988450e+13
1.81475 1.80236 3.65032 67.788002 0.2515 0 8 1 62 9.475453e+13
1.81365 1.80306 3.64844 68.292 0.2515 0 8 1 62 1.317504e+14
1.81239 1.80415 3.64676 68.795998 0.2515 0 8 1 62 1.114732e+14
1.81137 1.80527 3.64544 69.300003 0.2515 0 8 1 62 8.551705e+13
1.81082 1.8061 3.64467 69.804001 0.2515 0 8 1 62 1.067183e+14
1.80992 1.80728 3.64401 70.307999 0.2515 0 8 1 62 1.092571e+14
1.80895 1.8085 3.64336 70.811996 0.2515 0 8 1 62 1.095475e+14
1.80824 1.80944 3.64263 71.316002 0.2515 0 8 1 62 1.398732e+14
1.80663 1.81044 3.64108 71.82 0.2515 0 8 1 62 1.384147e+14
1.8048 1.81119 3.6392 72.323997 0.2515 0 8 1 62 1.458884e+14
1.80479 1.81147 3.63831 72.828003 0.2515 0 8 1 62 1.286999e+14
1.80604 1.81079 3.6376 73.332001 0.2515 0 8 1 62 1.105957e+14
1.8082 1.80926 3.6375 73.835999 0.2515 0 8 1 62 1.310915e+14
1.81307 1.80464 3.63762 74.339996 0.2515 0 8 1 62 1.444419e+14
1.81687 1.80088 3.63775 74.844002 0.2515 0 8 1 62 0.000000e+00
2.69308 1.67308 4.0961 75.348 0.2515 0 62 1 62 0.000000e+00
2.69418 1.67292 4.09526 75.851997 0.2515 0 62 1 62 0.000000e+00
2.69599 1.6727 4.09404 76.356003 0.2515 0 62 1 62 1.318073e+14
2.69753 1.6727 4.09355 76.860001 0.2515 0 62 1 62 1.231566e+14
