# File written from OrientationAnalysis Version 6.5.163.1998a502a
# DateTime: ?? 9? 6 11:14:22 2022
# X_STEP: 0.504000
# Y_STEP: 0.503000
# Z_STEP: 0.000000
#
# X_MIN: 0.000000
# Y_MIN: 0.000000
# Z_MIN: 0.000000
#
# X_MAX: 99.792000
# Y_MAX: 100.600006
# Z_MAX: 0.000000
#
# X_DIM: 198
# Y_DIM: 200
# Z_DIM: 0
#
# Phase_1: 
# Symmetry_1: 62
# Features_1: 62
#
# Num_Features: 62 
#
# phi1 PHI phi2 x y z FeatureId PhaseId Symmetry
1.796530 1.789900 3.584330 55.692001 0.251500 0.000000 8 1 62
1.797990 1.789980 3.589300 56.195999 0.251500 0.000000 8 1 62
1.800110 1.789820 3.596720 56.700001 0.251500 0.000000 8 1 62
1.802110 1.789780 3.603990 57.203999 0.251500 0.000000 8 1 62
1.803250 1.790170 3.608500 57.708000 0.251500 0.000000 8 1 62
1.804370 1.790670 3.613990 58.211998 0.251500 0.000000 8 1 62
1.805210 1.791140 3.619160 58.716000 0.251500 0.000000 8 1 62
1.805780 1.791310 3.623180 59.220001 0.251500 0.000000 8 1 62
1.806500 1.791530 3.629040 59.723999 0.251500 0.000000 8 1 62
1.807020 1.791700 3.634010 60.228001 0.251500 0.000000 8 1 62
1.808410 1.792600 3.640330 60.731998 0.251500 0.000000 8 1 62
1.810250 1.793870 3.646930 61.236000 0.251500 0.000000 8 1 62
1.812040 1.795070 3.652510 61.740002 0.251500 0.000000 8 1 62
1.814460 1.795730 3.659030 62.243999 0.251500 0.000000 8 1 62
1.816590 1.795720 3.664330 62.748001 0.251500 0.000000 8 1 62
1.817110 1.795280 3.665870 63.251999 0.251500 0.000000 8 1 62
1.817420 1.794910 3.666530 63.756001 0.251500 0.000000 8 1 62
1.817370 1.794790 3.665960 64.260002 0.251500 0.000000 8 1 62
1.817740 1.795360 3.663680 64.764000 0.251500 0.000000 8 1 62
1.817900 1.796770 3.661070 65.267998 0.251500 0.000000 8 1 62
1.817580 1.798750 3.659120 65.772003 0.251500 0.000000 8 1 62
1.817070 1.800630 3.656810 66.276001 0.251500 0.000000 8 1 62
1.816460 1.801820 3.654580 66.779999 0.251500 0.000000 8 1 62
1.815880 1.801850 3.652760 67.283997 0.251500 0.000000 8 1 62
1.814750 1.802360 3.650320 67.788002 0.251500 0.000000 8 1 62
1.813650 1.803060 3.648440 68.292000 0.251500 0.000000 8 1 62
1.812390 1.804150 3.646760 68.795998 0.251500 0.000000 8 1 62
1.811370 1.805270 3.645440 69.300003 0.251500 0.000000 8 1 62
1.810820 1.806100 3.644670 69.804001 0.251500 0.000000 8 1 62
1.809920 1.807280 3.644010 70.307999 0.251500 0.000000 8 1 62
1.808950 1.808500 3.643360 70.811996 0.251500 0.000000 8 1 62
1.808240 1.809440 3.642630 71.316002 0.251500 0.000000 8 1 62
1.806630 1.810440 3.641080 71.820000 0.251500 0.000000 8 1 62
1.804800 1.811190 3.639200 72.323997 0.251500 0.000000 8 1 62
1.804790 1.811470 3.638310 72.828003 0.251500 0.000000 8 1 62
1.806040 1.810790 3.637600 73.332001 0.251500 0.000000 8 1 62
1.808200 1.809260 3.637500 73.835999 0.251500 0.000000 8 1 62
1.813070 1.804640 3.637620 74.339996 0.251500 0.000000 8 1 62
1.816870 1.800880 3.637750 74.844002 0.251500 0.000000 8 1 62
2.693080 1.673080 4.096100 75.348000 0.251500 0.000000 62 1 62
2.694180 1.672920 4.095260 75.851997 0.251500 0.000000 62 1 62
2.695990 1.672700 4.094040 76.356003 0.251500 0.000000 62 1 62
2.697530 1.672700 4.093550 76.860001 0.251500 0.000000 62 1 62
2.698950 1.673470 4.092670 77.363998 0.251500 0.000000 62 1 62
2.699560 1.674650 4.091830 77.868004 0.251500 0.000000 62 1 62
2.699920 1.675920 4.091560 78.372002 0.251500 0.000000 62 1 62
2.699840 1.676740 4.091910 78.875999 0.251500 0.000000 62 1 62
2.699300 1.676840 4.092750 79.379997 0.251500 0.000000 62 1 62
